,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
45,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,most of the day,4.0,27.0,1.0,male,
46,5.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,few hours a day,3.0,21.0,1.0,female,city
47,5.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city
48,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,few hours a day,4.0,20.0,1.0,female,village
49,5.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,few hours a day,4.0,20.0,1.0,female,city
50,4.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,city
51,5.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,less than an hour a day,5.0,19.0,1.0,female,city
52,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,few hours a day,1.0,21.0,2.0,female,village
53,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,less than an hour a day,3.0,18.0,4.0,female,city
54,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,few hours a day,3.0,21.0,2.0,female,city
55,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,few hours a day,5.0,23.0,1.0,female,village
56,5.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,few hours a day,3.0,20.0,2.0,female,city
57,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,few hours a day,5.0,21.0,1.0,female,city
58,5.0,3.0,5.0,3.0,3.0,3.0,1.0,5.0,4.0,few hours a day,5.0,19.0,1.0,male,village
59,5.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,3.0,few hours a day,1.0,22.0,1.0,male,city
60,5.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,3.0,most of the day,5.0,23.0,1.0,male,city
61,5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,few hours a day,2.0,23.0,1.0,male,city
62,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,4.0,few hours a day,3.0,23.0,2.0,male,city
63,5.0,5.0,5.0,4.0,,3.0,,2.0,3.0,few hours a day,3.0,22.0,2.0,male,city
64,5.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,4.0,most of the day,1.0,18.0,0.0,female,city
65,4.0,4.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,few hours a day,1.0,17.0,1.0,male,city
66,4.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,3.0,less than an hour a day,3.0,20.0,1.0,male,village
67,3.0,1.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,few hours a day,3.0,24.0,0.0,female,village
68,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,few hours a day,1.0,18.0,1.0,female,village
69,5.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,4.0,most of the day,1.0,20.0,3.0,female,city
70,5.0,3.0,5.0,2.0,1.0,2.0,4.0,3.0,5.0,few hours a day,3.0,17.0,1.0,male,city
71,4.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,few hours a day,4.0,20.0,1.0,male,city
72,5.0,1.0,5.0,3.0,1.0,2.0,5.0,5.0,3.0,few hours a day,3.0,28.0,1.0,female,city
73,5.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,few hours a day,3.0,21.0,1.0,male,city
74,5.0,2.0,5.0,4.0,1.0,3.0,3.0,3.0,4.0,few hours a day,5.0,22.0,1.0,male,city
75,5.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,3.0,few hours a day,3.0,20.0,1.0,male,village
76,4.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,few hours a day,2.0,18.0,1.0,male,city
77,5.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,4.0,few hours a day,1.0,21.0,1.0,female,city
78,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,few hours a day,4.0,24.0,1.0,female,village
79,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,few hours a day,4.0,21.0,2.0,female,city
80,5.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,city
81,5.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,few hours a day,3.0,22.0,1.0,male,city
82,5.0,1.0,5.0,4.0,1.0,5.0,3.0,5.0,3.0,few hours a day,3.0,18.0,1.0,female,city
83,5.0,5.0,5.0,,1.0,5.0,5.0,2.0,2.0,few hours a day,3.0,22.0,2.0,female,city
84,5.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,4.0,few hours a day,1.0,19.0,0.0,female,city
85,5.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,most of the day,2.0,22.0,2.0,male,city
86,4.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,few hours a day,2.0,24.0,3.0,male,city
87,5.0,2.0,5.0,5.0,,3.0,3.0,1.0,3.0,few hours a day,2.0,18.0,3.0,female,village
88,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,few hours a day,1.0,21.0,0.0,female,city
89,5.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,few hours a day,4.0,22.0,2.0,female,village
90,4.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,3.0,most of the day,1.0,19.0,3.0,female,village
91,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,few hours a day,5.0,18.0,4.0,female,village
92,5.0,1.0,5.0,4.0,3.0,3.0,1.0,4.0,4.0,few hours a day,4.0,19.0,0.0,female,city
93,5.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,few hours a day,4.0,24.0,2.0,male,village
94,5.0,4.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,most of the day,3.0,21.0,1.0,male,city
95,5.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,few hours a day,1.0,21.0,1.0,male,city
96,5.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,few hours a day,1.0,19.0,1.0,male,city
97,5.0,2.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,most of the day,2.0,19.0,1.0,male,village
98,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,few hours a day,3.0,22.0,1.0,male,village
99,5.0,1.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,less than an hour a day,4.0,18.0,1.0,female,city
100,5.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,few hours a day,4.0,21.0,1.0,female,city
101,5.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,few hours a day,2.0,18.0,1.0,male,village
102,5.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,few hours a day,3.0,20.0,0.0,female,city
103,5.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,5.0,few hours a day,4.0,22.0,0.0,male,city
104,4.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,4.0,few hours a day,2.0,21.0,1.0,male,village
105,5.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,few hours a day,4.0,24.0,1.0,male,village
106,5.0,3.0,5.0,4.0,3.0,1.0,2.0,4.0,3.0,few hours a day,4.0,19.0,1.0,male,city
107,5.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,less than an hour a day,1.0,18.0,1.0,female,city
108,4.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,2.0,few hours a day,1.0,17.0,1.0,female,city
109,5.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,few hours a day,4.0,18.0,0.0,male,city
110,5.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,few hours a day,4.0,21.0,1.0,male,city
111,5.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,most of the day,2.0,22.0,1.0,female,village
112,5.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,less than an hour a day,4.0,20.0,1.0,female,city
113,3.0,5.0,4.0,2.0,1.0,5.0,3.0,2.0,4.0,few hours a day,2.0,21.0,1.0,female,village
114,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,less than an hour a day,4.0,19.0,1.0,female,city
115,5.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,few hours a day,3.0,17.0,0.0,female,city
116,5.0,1.0,4.0,2.0,1.0,4.0,5.0,5.0,4.0,few hours a day,3.0,21.0,1.0,female,city
117,5.0,1.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,few hours a day,3.0,18.0,3.0,female,village
118,5.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,few hours a day,4.0,23.0,1.0,male,city
119,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,few hours a day,5.0,16.0,1.0,female,village
120,5.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,2.0,most of the day,4.0,23.0,0.0,male,city
121,4.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,few hours a day,2.0,21.0,2.0,male,city
122,5.0,1.0,4.0,5.0,1.0,4.0,2.0,2.0,3.0,few hours a day,4.0,23.0,0.0,female,city
123,5.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,few hours a day,4.0,20.0,0.0,female,village
124,4.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,few hours a day,3.0,20.0,4.0,male,city
125,5.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,city
126,3.0,1.0,3.0,5.0,2.0,1.0,1.0,4.0,3.0,few hours a day,4.0,20.0,2.0,female,village
127,4.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,most of the day,2.0,19.0,1.0,female,city
128,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,few hours a day,5.0,15.0,3.0,female,city
129,5.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,3.0,less than an hour a day,3.0,20.0,1.0,female,village
130,4.0,3.0,5.0,5.0,2.0,1.0,4.0,1.0,4.0,few hours a day,4.0,19.0,1.0,female,village
131,5.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,2.0,few hours a day,4.0,18.0,2.0,male,village
132,5.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,most of the day,5.0,15.0,1.0,female,village
133,5.0,1.0,5.0,4.0,1.0,4.0,4.0,2.0,4.0,less than an hour a day,2.0,20.0,2.0,female,city
134,5.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,1.0,few hours a day,1.0,16.0,1.0,female,village
135,5.0,1.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,few hours a day,4.0,18.0,1.0,male,village
136,5.0,1.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,few hours a day,3.0,21.0,1.0,male,village
137,5.0,2.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,few hours a day,4.0,,,,village
138,5.0,1.0,5.0,2.0,1.0,3.0,1.0,4.0,5.0,few hours a day,4.0,20.0,4.0,female,village
139,5.0,3.0,5.0,1.0,2.0,5.0,3.0,4.0,4.0,few hours a day,2.0,19.0,1.0,female,village
140,5.0,3.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,few hours a day,3.0,19.0,3.0,female,city
141,3.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,few hours a day,1.0,19.0,1.0,female,city
142,5.0,2.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,most of the day,2.0,,,male,city
143,5.0,3.0,,,1.0,5.0,5.0,3.0,3.0,most of the day,2.0,20.0,1.0,female,city
144,5.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,1.0,few hours a day,5.0,21.0,1.0,male,city
145,1.0,3.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,few hours a day,2.0,19.0,1.0,female,village
146,5.0,,5.0,5.0,1.0,4.0,1.0,3.0,2.0,few hours a day,5.0,21.0,1.0,male,city
147,5.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,most of the day,4.0,18.0,2.0,male,city
148,4.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,few hours a day,4.0,20.0,3.0,male,village
149,2.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,3.0,few hours a day,3.0,19.0,5.0,male,city
150,5.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,3.0,few hours a day,3.0,22.0,1.0,female,city
151,5.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,few hours a day,4.0,20.0,1.0,male,city
152,5.0,2.0,5.0,5.0,2.0,4.0,2.0,5.0,4.0,few hours a day,2.0,25.0,2.0,male,city
153,2.0,3.0,3.0,5.0,1.0,1.0,5.0,4.0,4.0,few hours a day,3.0,21.0,0.0,female,city
154,5.0,1.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,few hours a day,4.0,24.0,1.0,male,city
155,5.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,few hours a day,5.0,19.0,1.0,female,city
156,5.0,1.0,5.0,5.0,1.0,4.0,1.0,5.0,3.0,few hours a day,4.0,25.0,1.0,male,city
157,5.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,most of the day,4.0,26.0,2.0,male,village
158,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,few hours a day,2.0,15.0,2.0,female,village
159,5.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,3.0,few hours a day,3.0,20.0,1.0,male,city
160,5.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,2.0,few hours a day,3.0,19.0,1.0,male,city
161,5.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,3.0,few hours a day,3.0,20.0,2.0,female,city
162,4.0,1.0,4.0,5.0,1.0,2.0,2.0,3.0,2.0,few hours a day,4.0,21.0,0.0,male,city
163,5.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,most of the day,3.0,22.0,1.0,male,city
164,5.0,3.0,5.0,3.0,1.0,4.0,2.0,3.0,4.0,most of the day,2.0,20.0,1.0,male,village
165,5.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,5.0,few hours a day,3.0,20.0,1.0,female,city
166,5.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,few hours a day,5.0,21.0,1.0,female,city
167,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,few hours a day,4.0,21.0,1.0,male,village
168,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,most of the day,3.0,20.0,0.0,female,city
169,5.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,3.0,few hours a day,5.0,19.0,2.0,female,village
170,4.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,few hours a day,5.0,19.0,1.0,male,city
171,5.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,3.0,few hours a day,3.0,20.0,0.0,male,city
172,5.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,4.0,most of the day,4.0,22.0,1.0,male,village
173,5.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,most of the day,3.0,21.0,1.0,male,city
174,5.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,3.0,few hours a day,3.0,26.0,0.0,male,city
175,5.0,2.0,4.0,1.0,1.0,5.0,3.0,3.0,3.0,few hours a day,5.0,17.0,2.0,female,city
176,5.0,2.0,5.0,1.0,5.0,4.0,1.0,2.0,4.0,less than an hour a day,4.0,22.0,2.0,male,village
177,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,few hours a day,3.0,26.0,2.0,male,city
178,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,city
179,4.0,4.0,4.0,5.0,2.0,4.0,5.0,2.0,3.0,few hours a day,5.0,22.0,1.0,male,city
180,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,few hours a day,4.0,21.0,0.0,male,city
181,5.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,few hours a day,3.0,23.0,0.0,male,city
182,5.0,1.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0,few hours a day,2.0,19.0,0.0,female,city
183,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,2.0,few hours a day,4.0,20.0,1.0,male,city
184,5.0,1.0,5.0,3.0,1.0,2.0,2.0,5.0,3.0,few hours a day,2.0,21.0,0.0,female,city
185,3.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,less than an hour a day,3.0,19.0,2.0,female,city
186,4.0,2.0,4.0,3.0,1.0,4.0,5.0,2.0,3.0,less than an hour a day,3.0,29.0,2.0,female,city
187,5.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,3.0,few hours a day,2.0,22.0,1.0,female,city
188,3.0,1.0,2.0,4.0,1.0,,2.0,2.0,4.0,less than an hour a day,5.0,19.0,2.0,female,village
189,5.0,1.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,few hours a day,4.0,17.0,1.0,female,city
190,4.0,2.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,few hours a day,4.0,16.0,1.0,female,city
191,5.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,less than an hour a day,1.0,29.0,2.0,female,village
192,5.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,few hours a day,5.0,18.0,2.0,female,city
193,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,few hours a day,3.0,26.0,2.0,male,city
194,5.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,few hours a day,3.0,19.0,1.0,male,city
195,5.0,1.0,4.0,3.0,1.0,1.0,5.0,3.0,3.0,few hours a day,2.0,19.0,1.0,male,city
196,5.0,3.0,5.0,4.0,1.0,1.0,4.0,2.0,3.0,few hours a day,4.0,20.0,0.0,female,city
197,5.0,1.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,few hours a day,3.0,22.0,0.0,female,city
198,5.0,2.0,3.0,4.0,1.0,4.0,5.0,1.0,2.0,few hours a day,1.0,20.0,1.0,male,village
199,5.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,less than an hour a day,1.0,21.0,1.0,male,village
200,4.0,2.0,5.0,3.0,1.0,5.0,1.0,5.0,2.0,most of the day,4.0,21.0,2.0,male,city
201,5.0,2.0,5.0,4.0,1.0,5.0,1.0,3.0,4.0,few hours a day,2.0,18.0,0.0,,village
202,5.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,2.0,few hours a day,3.0,15.0,0.0,male,city
203,5.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,city
204,5.0,1.0,5.0,1.0,4.0,3.0,4.0,3.0,3.0,few hours a day,3.0,24.0,1.0,female,city
205,5.0,1.0,5.0,5.0,1.0,2.0,1.0,3.0,4.0,few hours a day,5.0,19.0,1.0,female,city
206,5.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,few hours a day,4.0,25.0,3.0,male,village
207,5.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,few hours a day,4.0,20.0,1.0,female,city
208,5.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,less than an hour a day,1.0,19.0,2.0,female,village
209,5.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,few hours a day,5.0,21.0,1.0,male,village
210,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,few hours a day,3.0,23.0,2.0,male,village
211,5.0,4.0,5.0,1.0,1.0,4.0,5.0,3.0,4.0,few hours a day,2.0,21.0,1.0,female,village
212,5.0,2.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,most of the day,3.0,20.0,1.0,male,city
213,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,few hours a day,5.0,20.0,1.0,female,village
214,4.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,less than an hour a day,3.0,18.0,3.0,female,city
215,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,few hours a day,1.0,27.0,2.0,male,city
216,5.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,few hours a day,3.0,17.0,0.0,female,city
217,5.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,1.0,few hours a day,3.0,19.0,1.0,female,village
218,5.0,3.0,5.0,2.0,2.0,5.0,1.0,4.0,4.0,few hours a day,2.0,18.0,2.0,male,village
219,5.0,5.0,5.0,5.0,1.0,,1.0,2.0,5.0,less than an hour a day,,26.0,1.0,male,city
220,5.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,4.0,few hours a day,2.0,18.0,2.0,male,village
221,5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,few hours a day,1.0,30.0,2.0,male,city
222,5.0,1.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,few hours a day,4.0,24.0,1.0,female,city
223,5.0,2.0,5.0,4.0,3.0,5.0,1.0,2.0,2.0,few hours a day,4.0,20.0,0.0,female,village
224,5.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,few hours a day,4.0,20.0,1.0,male,village
225,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,few hours a day,3.0,20.0,1.0,male,village
226,5.0,3.0,5.0,2.0,1.0,5.0,1.0,5.0,4.0,few hours a day,3.0,25.0,1.0,,village
227,5.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,few hours a day,2.0,19.0,3.0,female,village
228,4.0,2.0,5.0,3.0,3.0,5.0,1.0,3.0,4.0,few hours a day,5.0,20.0,2.0,female,village
229,4.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,few hours a day,1.0,21.0,5.0,male,village
230,5.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,few hours a day,3.0,19.0,1.0,female,village
