"STATION","NAME","DATE","MLY-CLDD-BASE45","MLY-CLDD-BASE50","MLY-CLDD-BASE55","MLY-CLDD-BASE57","MLY-CLDD-BASE60","MLY-CLDD-BASE70","MLY-CLDD-BASE72","MLY-CLDD-NORMAL","MLY-DUTR-NORMAL","MLY-DUTR-STDDEV","MLY-GRDD-BASE40","MLY-GRDD-BASE45","MLY-GRDD-BASE50","MLY-GRDD-BASE55","MLY-GRDD-BASE57","MLY-GRDD-BASE60","MLY-GRDD-BASE65","MLY-GRDD-BASE70","MLY-GRDD-BASE72","MLY-GRDD-TB4886","MLY-GRDD-TB5086","MLY-HTDD-BASE40","MLY-HTDD-BASE45","MLY-HTDD-BASE50","MLY-HTDD-BASE55","MLY-HTDD-BASE57","MLY-HTDD-BASE60","MLY-HTDD-NORMAL","MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-NORMAL","MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-NORMAL","MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","MLY-TAVG-NORMAL","MLY-TAVG-STDDEV","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-NORMAL","MLY-TMAX-STDDEV","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-NORMAL","MLY-TMIN-PRBOCC-LSTH016","MLY-TMIN-PRBOCC-LSTH020","MLY-TMIN-PRBOCC-LSTH024","MLY-TMIN-PRBOCC-LSTH028","MLY-TMIN-PRBOCC-LSTH032","MLY-TMIN-PRBOCC-LSTH036","MLY-TMIN-STDDEV"
"USC00456295","PALMER 3 ESE, WA US","11","43","9","1","-7777","-7777","0","0","0","11.5","1.4","122","43","9","1","-7777","-7777","0","0","0","46","31","38","108","224","366","425","515","665","8.43","12.57","16.26","21.2","17.3","8.8","3.8","12.58","0.0","0.0","0.5","0.7","0.6","0.2","-7777","0.0","0.7","1.6","0.8","0.6","0.4","42.9","3.4","278","12.6","12","0","0","0.0","0.0","0.5","48.6","3.5","0.0","0","5","5.2","206","298","300","300","37.1","20","59","175","452","811","984","3.4"
"USC00456295","PALMER 3 ESE, WA US","12","6","-7777","-7777","-7777","0","0","0","0","10.2","1.3","39","6","-7777","-7777","-7777","0","0","0","0","11","6","110","232","382","536","598","691","846","8.33","9.48","11.64","19.4","15.7","7.5","2.8","9.85","0.0","1.5","6.0","2.1","1.6","0.5","0.2","-7777","3.9","3.7","1.6","1.0","0.3","37.7","2.8","217","4.1","-7777","0","0","0.0","0.0","1.6","42.8","2.9","0.0","2","15","12.5","283","310","310","310","32.6","162","296","527","848","990","1000","3.0"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","01","26","4","-7777","0","0","0","0","0","8.8","1.5","94","26","4","-7777","0","0","0","0","0","23","13","50","137","270","422","484","577","732",,,,,,,,"4.08",,,,,,,,,,,,,,"41.4","2.7","256","8.3","2","0","0","0.0","0.0","0.3","45.8","2.8","0.0","0","3","5.4","205","306","310","310","37.0","81","183","398","730","959","999","2.9"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","02","25","2","-7777","-7777","0","0","0","0","11.2","1.8","98","25","2","-7777","-7777","0","0","0","0","31","19","19","87","204","342","398","482","622",,,,,,,,"3.33",,,,,,,,,,,,,,"42.8","2.9","268","10.0","4","0","0","0.0","0.0","0.0","48.4","3.1","0.0","0","0","3.8","193","280","280","280","37.2","19","79","246","561","873","994","3.0"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","03","72","16","2","1","-7777","0","0","-7777","12.4","1.7","188","72","16","2","1","-7777","-7777","0","0","74","52","8","47","146","287","348","440","595",,,,,,,,"3.37",,,,,,,,,,,,,,"45.8","2.5","304","19.6","28","2","0","0.0","0.0","0.0","52.0","3.2","0.0","0","0","1.8","163","308","310","310","39.6","0","15","52","181","616","977","2.0"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","04","137","45","10","5","1","0","0","-7777","13.4","1.4","277","137","45","10","5","1","-7777","0","0","123","95","1","10","69","184","239","325","474",,,,,,,,"2.58",,,,,,,,,,,,,,"49.2","1.8","300","25.0","64","8","0","0.0","0.0","0.0","55.9","2.1","0.0","0","0","0.1","82","292","300","300","42.5","0","0","0","0","143","692","1.8"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","05","293","149","50","29","11","1","-7777","2","14.4","1.3","448","293","149","50","29","11","2","1","-7777","231","190","0","-7777","11","68","108","183","330",,,,,,,,"2.28",,,,,,,,,,,,,,"54.4","2.1","310","30.8","178","32","3","0.0","0.0","0.0","61.7","2.4","0.0","0","0","0.0","9","239","309","310","47.2","0","0","0","0","0","91","1.9"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","06","414","264","128","84","40","2","1","9","14.8","1.6","564","414","264","128","84","40","9","2","1","328","275","0","0","-7777","14","30","76","195",,,,,,,,"2.05",,,,,,,,,,,,,,"58.8","1.8","300","30.0","252","73","11","0.0","0.0","0.0","66.2","2.5","0.0","0","0","0.0","0","110","291","300","51.4","0","0","0","0","0","0","1.3"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","07","549","394","239","180","102","7","4","28","16.3","1.8","704","549","394","239","180","102","28","7","4","455","393","0","0","0","1","3","18","100",,,,,,,,"0.95",,,,,,,,,,,,,,"62.7","1.9","310","31.0","299","163","29","0.2","0.0","0.0","70.8","2.5","0.0","0","0","0.0","0","11","292","309","54.6","0","0","0","0","0","0","1.5"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","08","581","426","271","210","123","4","2","28","17.2","1.2","736","581","426","271","210","123","28","4","2","488","426","0","0","0","-7777","-7777","7","67",,,,,,,,"1.05",,,,,,,,,,,,,,"63.8","0.9","310","31.0","307","205","27","0.0","0.0","0.0","72.4","1.2","0.0","0","0","0.0","0","7","297","310","55.1","0","0","0","0","0","0","1.0"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","09","435","285","144","97","46","-7777","-7777","7","15.1","1.7","585","435","285","144","97","46","7","-7777","-7777","349","295","0","0","-7777","10","23","61","172",,,,,,,,"1.70",,,,,,,,,,,,,,"59.5","1.5","300","30.0","264","86","7","0.0","0.0","0.0","67.0","2.1","0.0","0","0","0.0","0","84","297","300","52.0","0","0","0","0","0","0","1.3"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","10","207","82","18","8","2","0","0","-7777","12.5","1.8","357","207","82","18","8","2","-7777","0","0","163","127","1","5","36","126","178","265","418",,,,,,,,"3.27",,,,,,,,,,,,,,"51.5","1.2","310","29.3","98","6","0","0.0","0.0","0.0","57.8","1.2","0.0","0","0","0.2","38","270","310","310","45.2","0","0","0","9","146","540","1.8"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","11","61","13","1","-7777","-7777","0","0","0","8.9","1.3","164","61","13","1","-7777","-7777","0","0","0","46","28","19","65","167","306","365","455","605",,,,,,,,"6.14",,,,,,,,,,,,,,"44.8","2.7","287","14.4","9","1","0","0.0","0.0","0.3","49.3","2.8","0.0","0","3","2.4","131","291","300","300","40.4","9","26","89","271","654","976","2.9"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","12","13","1","0","0","0","0","0","0","8.2","1.1","64","13","1","0","0","0","0","0","0","11","5","76","180","323","477","539","632","787",,,,,,,,"5.25",,,,,,,,,,,,,,"39.6","2.8","244","4.0","0","0","0","0.0","0.0","1.1","43.7","2.9","0.0","0","9","7.7","238","310","310","310","35.5","122","217","415","745","991","1000","2.7"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","01","32","4","-7777","-7777","0","0","0","0","10.3","1.2","109","32","4","-7777","-7777","0","0","0","0","31","18","46","124","251","402","463","556","711","4.07","5.69","7.07","18.2","12.1","3.7","0.8","5.57","0.0","0.0","1.3","1.3","0.6","0.2","0.0","0.0","1.4","0.7","0.1","0.0","0.0","42.0","2.8","276","10.0","3","0","0","0.0","0.0","0.4","47.2","2.9","0.0","0","2","6.4","204","307","310","310","36.9","50","152","413","757","954","998","2.8"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","02","38","6","-7777","-7777","0","0","0","0","13.1","1.8","120","38","6","-7777","-7777","0","0","0","0","48","31","25","83","190","325","381","465","605","2.05","3.41","4.47","14.7","9.1","2.0","0.3","3.50","0.0","0.4","2.1","0.9","0.5","0.2","0.1","0.0","1.7","0.9","0.4","0.3","0.0","43.4","2.6","267","13.0","13","0","0","0.0","0.0","0.1","49.9","2.7","0.0","-7777","2","5.5","189","277","280","280","36.9","28","93","291","622","900","1000","2.9"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","03","83","18","2","1","-7777","0","0","-7777","14.4","1.3","207","83","18","2","1","-7777","-7777","0","0","96","71","5","36","126","266","326","419","574","2.67","3.72","4.16","16.9","10.6","1.6","0.3","3.72","0.0","0.0","0.2","0.5","0.3","0.1","0.1","0.0","0.8","0.4","0.1","0.1","0.0","46.5","2.3","307","22.8","44","2","0","0.0","0.0","0.0","53.7","2.8","0.0","0","-7777","1.6","171","308","310","310","39.3","0","5","40","167","613","973","2.0"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","04","166","62","17","9","3","-7777","0","-7777","16.2","1.7","311","166","62","17","9","3","-7777","-7777","0","160","130","-7777","6","51","157","209","292","440","1.48","2.68","3.50","14.3","7.5","1.3","0.2","2.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","50.3","1.7","300","28.1","103","25","1","0.0","0.0","0.0","58.5","2.2","0.0","0","0","-7777","91","291","300","300","42.2","0","0","0","0","79","682","1.6"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","05","341","192","81","53","25","1","-7777","6","17.4","2.0","496","341","192","81","53","25","6","1","-7777","279","238","0","-7777","6","50","84","149","285","1.34","1.93","2.78","12.0","6.0","0.8","-7777","1.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","56.0","2.1","310","30.9","218","68","15","0.1","0.0","0.0","64.7","2.8","0.0","0","0","0.0","12","230","309","310","47.3","0","0","0","0","0","51","1.7"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","06","477","327","182","130","70","6","3","21","18.0","2.0","627","477","327","182","130","70","21","6","3","388","333","0","0","-7777","5","13","43","144","1.14","1.59","1.86","9.1","4.4","0.8","0.2","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.9","2.0","300","30.0","283","127","33","0.5","0.0","0.0","69.9","2.9","0.0","0","0","0.0","0","81","294","300","51.9","0","0","0","0","0","0","1.3"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","07","642","487","332","270","181","20","12","71","20.2","2.1","797","642","487","332","270","181","71","20","12","542","480","0","0","0","-7777","-7777","5","49","0.28","0.58","1.10","5.0","2.3","0.2","0.0","0.70","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","65.7","2.3","310","31.0","308","234","86","1.4","-7777","0.0","75.8","3.2","0.0","0","0","0.0","0","5","283","310","55.6","0","0","0","0","0","0","1.6"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","08","654","499","344","282","191","17","8","70","20.4","1.8","809","654","499","344","282","191","70","17","8","556","495","0","0","0","0","-7777","2","36","0.29","0.63","1.28","4.8","2.3","0.5","0.1","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","66.1","1.3","310","31.0","310","257","87","0.8","0.0","0.0","76.3","1.9","0.0","0","0","0.0","0","7","287","310","55.9","0","0","0","0","0","0","1.1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","09","489","339","194","143","81","3","1","21","18.4","2.5","639","489","339","194","143","81","21","3","1","403","349","0","0","-7777","6","14","42","132","0.78","1.29","1.90","7.9","4.1","0.7","0.1","1.50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","61.3","1.7","300","30.0","282","142","35","0.2","0.0","0.0","70.5","2.7","0.0","0","0","0.0","1","86","297","300","52.1","0","0","0","0","0","0","1.4"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","10","244","111","31","16","4","0","0","-7777","13.9","1.6","395","244","111","31","16","4","-7777","0","0","196","158","-7777","3","26","101","148","229","380","2.18","3.08","5.24","13.1","7.8","2.0","0.5","3.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","52.8","1.5","310","29.8","137","19","1","0.0","0.0","0.0","59.7","1.9","0.0","0","0","0.1","35","256","310","310","45.8","0","0","0","0","58","435","1.4"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","11","71","15","1","-7777","-7777","0","0","0","10.9","1.4","180","71","15","1","-7777","-7777","0","0","0","61","40","17","57","152","288","347","436","586","4.07","5.68","8.43","18.4","13.2","4.1","1.2","6.57","0.0","0.0","0.0","0.3","0.2","0.1","0.1","0.0","1.2","0.8","0.6","0.3","0.0","45.4","2.8","289","17.4","11","-7777","0","0.0","0.0","0.3","50.9","3.0","0.0","0","3","2.6","139","291","300","300","40.0","6","29","90","287","694","977","2.8"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","12","20","3","-7777","-7777","0","0","0","0","10.0","1.1","81","20","3","-7777","-7777","0","0","0","0","20","10","61","155","292","445","507","600","755","3.67","4.98","6.86","17.6","11.6","3.3","0.9","5.35","0.0","0.0","1.9","1.6","0.6","0.1","0.0","0.0","1.7","1.6","0.5","0.1","0.0","40.6","2.4","264","7.3","1","0","0","0.0","0.0","0.8","45.7","2.6","0.0","0","7","7.7","236","309","310","310","35.6","102","229","443","776","989","1000","2.4"
"USC00458278","TACOMA NUMBER 1, WA US","01","40","6","1","-7777","0","0","0","0","11.3","1.8","124","40","6","1","-7777","0","0","0","0","39","23","39","110","230","380","442","535","690","4.06","5.77","7.79","18.8","12.8","4.1","1.1","5.93",,,,,,,,,,,,,,"42.8","2.4","287","12.7","5","0","0","0.0","0.0","0.2","48.4","2.4","0.0","0","3","6.6","192","305","310","310","37.1","74","162","424","779","964","998","2.7"
"USC00458278","TACOMA NUMBER 1, WA US","02","43","6","-7777","-7777","0","0","0","0","13.9","1.5","130","43","6","-7777","-7777","0","0","0","0","55","37","21","74","177","311","367","451","591","2.55","3.63","4.85","14.9","9.5","2.0","0.4","3.86",,,,,,,,,,,,,,"43.9","2.4","273","16.6","10","0","0","0.0","0.0","0.1","50.9","2.3","0.0","0","5","6.1","184","277","280","280","36.9","17","99","312","672","947","1000","2.8"
"USC00458278","TACOMA NUMBER 1, WA US","03","107","29","4","1","-7777","0","0","0","15.7","2.2","240","107","29","4","1","-7777","0","0","0","121","92","3","25","102","231","291","383","538","3.15","4.16","4.77","17.3","11.7","2.0","0.3","4.06",,,,,,,,,,,,,,"47.7","2.1","309","26.6","59","4","0","0.0","0.0","0.0","55.5","2.5","0.0","0","-7777","2.7","155","302","310","310","39.8","4","19","39","215","719","974","2.2"
"USC00458278","TACOMA NUMBER 1, WA US","04","207","86","23","13","4","0","0","-7777","17.2","1.7","354","207","86","23","13","4","-7777","0","0","192","159","0","3","32","119","169","250","396","1.80","2.74","3.71","13.9","8.5","1.3","0.3","3.00",,,,,,,,,,,,,,"51.8","1.6","300","29.6","137","25","1","0.0","0.0","0.0","60.4","2.0","0.0","0","0","0.2","77","275","300","300","43.2","0","0","0","3","226","794","1.7"
"USC00458278","TACOMA NUMBER 1, WA US","05","381","230","104","68","32","1","-7777","6","18.2","2.1","536","381","230","104","68","32","6","1","-7777","316","271","0","-7777","3","33","59","116","245","1.15","1.92","2.57","10.6","5.9","1.2","0.1","2.11",,,,,,,,,,,,,,"57.3","2.0","310","31.0","258","84","12","-7777","0.0","0.0","66.4","2.5","0.0","0","0","0.0","15","195","309","310","48.2","0","0","0","0","0","117","2.0"
"USC00458278","TACOMA NUMBER 1, WA US","06","512","362","213","158","88","3","1","23","18.9","2.6","662","512","362","213","158","88","23","3","1","423","368","0","0","-7777","2","7","26","111","0.91","1.42","2.00","8.2","4.2","0.7","0.2","1.57",,,,,,,,,,,,,,"62.0","1.8","300","30.0","293","157","36","0.2","0.0","0.0","71.5","2.7","0.0","0","0","0.0","-7777","70","294","300","52.6","0","0","0","0","0","0","1.5"
"USC00458278","TACOMA NUMBER 1, WA US","07","668","513","358","296","204","14","6","75","20.9","2.5","823","668","513","358","296","204","75","14","6","572","511","0","0","0","0","-7777","1","27","0.20","0.61","1.04","4.1","2.1","0.4","0.0","0.68",,,,,,,,,,,,,,"66.6","2.1","310","31.0","310","274","91","0.5","0.0","0.0","77.0","2.8","0.0","0","0","0.0","0","13","272","310","56.1","0","0","0","0","0","0","2.0"
"USC00458278","TACOMA NUMBER 1, WA US","08","662","507","352","290","199","11","4","70","21.3","2.7","817","662","507","352","290","199","70","11","4","568","508","0","0","0","-7777","-7777","2","28","0.24","0.44","1.12","4.4","2.4","0.4","0.1","0.82",,,,,,,,,,,,,,"66.4","1.2","310","31.0","310","281","96","0.2","0.0","0.0","77.0","2.0","0.0","0","0","0.0","0","25","272","310","55.7","0","0","0","0","0","0","1.7"
"USC00458278","TACOMA NUMBER 1, WA US","09","493","344","198","144","77","1","-7777","15","19.7","2.9","643","493","344","198","144","77","15","1","-7777","415","364","0","-7777","-7777","4","11","34","121","0.39","1.12","1.91","6.6","3.6","0.6","0.0","1.29",,,,,,,,,,,,,,"61.5","1.5","300","30.0","295","167","24","-7777","0.0","0.0","71.3","2.1","0.0","0","0","0.0","5","103","291","300","51.6","0","0","0","0","0","23","2.0"
"USC00458278","TACOMA NUMBER 1, WA US","10","271","136","44","23","7","0","0","-7777","15.3","2.3","423","271","136","44","23","7","-7777","0","0","230","189","-7777","3","22","85","126","204","352","2.48","3.63","4.89","12.8","8.1","2.2","0.5","3.70",,,,,,,,,,,,,,"53.7","1.6","310","30.4","185","20","1","0.0","0.0","0.0","61.3","1.6","0.0","0","0","0.5","53","224","310","310","46.0","0","0","0","36","226","643","2.3"
"USC00458278","TACOMA NUMBER 1, WA US","11","94","26","3","1","-7777","0","0","0","12.2","1.6","209","94","26","3","1","-7777","0","0","0","83","58","15","49","131","258","316","405","555","3.65","6.22","8.69","19.3","13.1","4.0","1.4","6.68",,,,,,,,,,,,,,"46.5","2.7","291","21.5","23","0","0","0.0","0.0","0.2","52.6","2.7","0.0","-7777","3","3.6","128","281","300","300","40.4","12","40","146","417","845","994","2.9"
