STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,2005-01-31,24.0,16,31,11.41,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-01,23.0,9,36,2.01,6.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-02,25.0,11,38,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-03,30.0,23,36,9.62,15.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-04,34.0,31,36,13.2,23.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-05,41.0,31,50,10.51,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-06,37.0,29,45,11.18,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-07,40.0,28,52,3.58,8.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-08,34.0,25,43,4.03,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-09,44.0,34,53,4.7,10.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-02-10,36.0,30,41,8.5,21.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-11,32.0,27,36,16.78,30.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-02-12,33.0,26,39,9.4,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-13,34.0,26,41,8.72,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-14,31.0,21,40,9.17,17.9,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-02-15,43.0,34,52,9.62,25.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-02-16,43.0,31,54,8.95,19.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-02-17,34.0,29,39,8.05,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-18,25.0,16,34,13.2,23.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-02-19,21.0,13,29,9.17,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-20,26.0,18,34,6.93,17.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-02-21,29.0,25,33,10.96,17.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-02-22,30.0,26,33,10.07,21.0,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,
USW00014765,2005-02-23,31.0,24,37,8.5,17.9,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-02-24,24.0,18,29,10.07,17.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-02-25,25.0,19,30,10.29,21.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-02-26,24.0,13,35,6.49,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-27,28.0,20,35,9.17,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-02-28,27.0,18,36,10.74,23.9,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-03-01,30.0,27,32,10.74,25.1,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-03-02,30.0,24,35,14.54,25.1,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-03-03,24.0,19,29,14.32,23.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-04,25.0,16,33,10.29,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-05,30.0,19,40,8.28,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-06,34.0,26,41,9.4,25.1,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-03-07,40.0,32,47,10.51,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-08,30.0,16,44,14.32,36.9,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0
USW00014765,2005-03-09,18.0,11,25,16.55,32.0,,,,,,,,,1.0,,,,,,,,1.0,,,
USW00014765,2005-03-10,22.0,13,30,9.17,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-11,25.0,18,32,5.59,15.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-03-12,34.0,32,35,8.05,17.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-03-13,34.0,30,38,6.04,13.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-03-14,34.0,25,42,10.96,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-15,37.0,28,46,11.63,23.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-16,38.0,29,46,10.96,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-17,37.0,27,46,7.38,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-18,37.0,26,47,8.5,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-19,39.0,29,49,6.71,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-20,38.0,27,48,5.82,14.1,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-03-21,36.0,29,43,3.58,12.1,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-03-22,41.0,26,55,8.5,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-23,38.0,29,46,9.17,17.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-03-24,36.0,30,41,13.2,25.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-03-25,41.0,30,52,8.5,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-26,38.0,29,47,8.28,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-27,37.0,27,47,5.82,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-28,43.0,35,50,8.5,19.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-03-29,47.0,41,53,14.32,23.9,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-03-30,50.0,39,61,8.28,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-31,44.0,32,55,6.49,14.1,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-04-01,45.0,38,52,6.49,16.1,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-02,48.0,39,57,14.32,36.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-03,48.0,40,56,14.54,38.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-04,48.0,40,55,11.41,21.0,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-05,50.0,36,64,8.5,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-06,49.0,40,57,6.49,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-07,56.0,40,71,9.84,28.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-08,50.0,42,58,7.16,19.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-09,50.0,39,61,8.28,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-10,50.0,34,65,6.04,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-11,46.0,38,54,11.86,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-12,43.0,32,54,10.96,23.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-13,43.0,34,52,7.38,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-14,46.0,34,57,11.63,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-15,45.0,36,54,13.2,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-16,46.0,32,60,7.61,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-17,49.0,33,64,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-18,59.0,44,73,7.83,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-19,53.0,37,69,7.83,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-20,67.0,47,86,12.3,25.9,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-21,50.0,39,61,10.51,23.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-04-22,47.0,35,58,9.4,21.9,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-23,55.0,46,63,12.3,23.9,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-24,51.0,42,59,15.21,33.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-25,47.0,42,51,12.75,25.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-26,53.0,38,68,10.29,25.1,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-27,53.0,50,56,10.07,23.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-04-28,53.0,41,65,11.63,32.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-04-29,52.0,40,63,10.96,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-30,52.0,47,57,7.61,17.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-01,54.0,46,62,6.49,19.9,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-02,51.0,40,61,11.86,28.0,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-05-03,50.0,41,58,7.83,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-04,48.0,39,57,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-05,49.0,36,62,6.71,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-06,47.0,39,55,8.28,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-07,45.0,42,47,22.59,36.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-08,48.0,42,53,22.15,34.9,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-05-09,52.0,47,56,14.09,23.0,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-05-10,58.0,48,67,7.83,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-11,53.0,44,62,9.4,23.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-12,56.0,46,65,12.97,30.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-13,52.0,40,64,10.07,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-14,55.0,49,61,6.49,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-15,57.0,47,66,5.82,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-16,55.0,45,64,8.05,14.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-17,57.0,48,65,7.16,19.9,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-05-18,55.0,47,62,5.14,16.1,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-19,56.0,46,65,6.71,14.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-20,54.0,44,63,6.49,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-21,51.0,43,58,13.2,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-22,53.0,46,59,7.38,19.9,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-05-23,51.0,45,57,8.05,21.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-24,48.0,45,50,15.88,28.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-25,46.0,44,48,24.16,33.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-26,51.0,46,56,14.54,29.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-27,58.0,51,65,7.61,16.1,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-28,65.0,53,77,8.5,21.0,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-05-29,65.0,54,75,5.59,15.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-30,64.0,52,76,6.49,25.1,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-05-31,59.0,50,68,8.05,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-01,60.0,51,69,7.83,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-02,57.0,50,64,9.62,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-03,64.0,53,75,7.83,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-04,69.0,58,80,3.8,13.0,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-06-05,74.0,59,88,5.37,15.0,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-06-06,65.0,58,72,9.4,17.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-06-07,74.0,62,86,10.74,23.9,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-06-08,75.0,62,87,6.71,17.0,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-06-09,77.0,66,87,8.05,17.9,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-06-10,74.0,67,80,10.51,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-11,77.0,67,87,9.62,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-12,78.0,67,88,8.05,15.0,,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014765,2005-06-13,83.0,73,92,8.5,17.0,,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014765,2005-06-14,75.0,56,93,7.61,29.1,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-15,55.0,51,59,10.51,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-16,59.0,51,67,5.59,14.1,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-17,66.0,55,76,6.93,17.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-18,62.0,53,70,5.82,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-19,60.0,53,67,8.95,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-20,61.0,49,73,7.16,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-21,67.0,52,82,9.17,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-22,68.0,60,76,7.83,21.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-23,66.0,55,76,8.95,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-24,70.0,55,85,9.84,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-25,80.0,66,93,10.74,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-26,82.0,70,94,7.38,16.1,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-06-27,75.0,68,82,8.72,19.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-28,73.0,68,78,7.38,15.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-29,80.0,70,90,9.62,23.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-30,71.0,67,75,6.71,14.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-01,73.0,67,79,4.7,13.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-02,74.0,66,82,8.95,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-03,70.0,59,81,7.61,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-04,68.0,56,80,5.37,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-05,69.0,55,83,8.72,17.9,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-07-06,68.0,62,74,9.17,23.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-07,64.0,59,69,13.87,21.9,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-07-08,60.0,57,63,10.74,19.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-09,69.0,56,81,9.84,23.9,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-10,77.0,63,91,10.07,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-11,83.0,72,93,8.95,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-12,73.0,63,83,8.5,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-13,68.0,62,73,8.05,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-14,75.0,65,85,8.5,17.9,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-15,79.0,69,88,5.82,15.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-07-16,76.0,67,84,6.49,17.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-07-17,75.0,68,81,7.61,14.1,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-18,77.0,72,82,8.28,15.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-19,84.0,74,94,6.93,17.9,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-20,82.0,73,91,7.61,17.0,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-07-21,77.0,68,86,6.26,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-22,81.0,68,94,7.16,21.9,,,1.0,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-07-23,77.0,68,86,10.51,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-24,73.0,60,86,7.83,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-25,77.0,70,84,12.08,25.1,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-07-26,82.0,67,96,9.4,17.9,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-07-27,84.0,73,95,11.41,21.9,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-28,72.0,63,80,11.41,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-29,73.0,57,88,8.05,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-30,77.0,68,85,5.14,12.1,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-07-31,72.0,65,79,6.04,12.1,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-01,,63,86,7.83,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-02,,69,92,6.71,15.0,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-08-03,,70,95,7.38,19.9,,,1.0,,,,,,,,,,,,,,,,,
USW00014765,2005-08-04,,68,86,7.38,16.1,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-08-05,,72,99,9.4,23.9,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-06,,64,86,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-07,,62,84,7.16,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-08,,67,91,8.28,17.9,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-09,,73,86,7.61,23.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-10,,71,85,8.95,19.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-11,,70,95,6.49,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-12,,73,87,7.61,16.1,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-13,,77,100,9.62,17.9,,,1.0,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-08-14,,74,93,7.83,17.0,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-15,,64,75,11.63,17.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-08-16,,63,78,7.16,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-17,,66,89,9.4,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-18,,62,82,6.71,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-19,,59,80,5.37,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-20,,64,84,6.71,17.9,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-21,,68,89,7.16,21.9,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-22,,68,89,6.93,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-23,,60,83,6.71,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-24,,61,81,7.16,14.1,,,1.0,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-08-25,,59,82,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-26,,59,86,5.82,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-27,,60,83,8.05,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-28,,69,82,9.4,17.9,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-08-29,,72,83,7.38,17.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-30,,71,75,5.59,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-31,,75,80,15.43,23.0,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-09-01,,66,86,8.5,17.9,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-09-02,,63,86,6.26,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-03,,65,83,8.05,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-04,,61,84,6.49,17.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-05,,58,78,7.61,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-06,,53,78,4.47,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-07,,55,79,5.37,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-08,,57,83,6.04,15.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-09,,60,75,6.26,16.1,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-09-10,,55,76,7.16,17.0,1.0,,,,,,,,,,,1.0,,,,,,,,
