,cust_id,birth_date,Age,acct_amount,inv_amount,fund_A,fund_B,fund_C,fund_D,account_opened,last_transaction
17,984403B9,1983-01-30,37,17939.88,14427,6286.0,1050.0,3690.0,3401.0,07-10-17,18-05-18
18,C9FB0E86,1965-10-04,55,88682.34,26164,5504.0,4063.0,5602.0,10995.0,19-05-18,06-08-19
19,DEB87C87,1993-07-28,27,64944.62,31801,11828.0,13372.0,1039.0,5562.0,20-03-18,15-11-19
20,1903EB99,1962-12-03,58,24267.02,22961,2930.0,7216.0,1035.0,11780.0,17-03-17,21-11-18
21,2C5901B4,1962-02-07,58,250046.76,90440,14097.0,41086.0,18851.0,16406.0,05-02-18,11-07-19
22,96525DA6,1992-11-23,28,82511.24,33927,8206.0,15019.0,5559.6,6182.0,23-07-18,07-08-18
23,A1815565,1968-09-27,56,82996.04,30897,16092.0,5491.0,5098.0,4216.0,07-11-17,30-09-19
24,EC10469C,1992-03-25,28,73618.75,48977,2808.0,22831.0,958.0,22380.0,27-12-18,08-06-18
25,296A9395,1984-05-02,36,34679.6,28459,4676.0,7349.0,10075.0,6359.0,24-12-17,19-02-19
26,1B55AA1C,1992-10-09,28,71782.2,35474,3881.0,11981.0,13750.0,5862.0,29-01-19,22-11-19
27,B40E8497,1981-08-27,39,99771.9,86990,3015.0,48358.0,11091.0,24526.0,16-05-17,05-01-20
28,E2EFF324,1989-03-10,31,67297.46,57250,1451.0,13278.0,33158.0,9363.0,27-04-18,10-07-18
29,D3287768,1989-07-31,31,89961.77,84214,58179.0,6874.0,6222.0,12939.0,03-09-18,19-10-18
30,A69FA1B8,1967-07-29,53,75207.99,31619,2515.0,1149.0,15567.0,12388.0,23-02-19,09-09-19
31,8C35540A,1987-02-10,33,44244.71,35498,3193.0,15847.0,6908.0,9550.0,03-05-18,30-09-19
32,8D08495A,1961-08-14,63,89138.52,60795,53880.0,1325.0,2105.0,3485.0,08-08-18,05-02-19
33,B5D367B5,1981-02-12,39,44226.86,36571,1280.0,8191.0,3462.0,23638.0,16-09-17,03-04-19
34,EC189A55,1986-02-05,34,83343.18,7281,2715.0,2949.0,1072.0,545.0,04-02-19,31-12-18
35,078C654F,1993-10-17,27,87312.64,66529,3684.0,17635.0,11717.0,33493.0,14-04-17,05-08-18
36,2AB6539A,1984-08-28,36,53796.13,12400,935.0,617.0,9606.0,1242.0,03-01-19,17-11-18
37,FA01676F,1962-08-23,58,66947.3,52549,12800.0,30024.0,2082.0,7643.0,10-08-18,23-07-19
38,4A13E345,1989-04-19,31,84107.71,4216,985.0,1008.0,667.0,1556.0,17-09-18,09-02-19
39,014E0511,1972-03-13,48,70272.97,65968,23849.0,23025.0,2802.0,16292.0,09-02-19,22-05-19
40,777A7F2C,1973-08-12,47,52684.17,20968,380.0,2402.0,14612.0,3574.0,27-10-18,25-05-19
41,2EC1B555,1974-03-17,46,55976.78,51477,8303.0,24112.0,15776.0,3286.0,05-12-17,21-10-19
42,E7389E60,1989-01-13,31,86028.48,48085,5731.0,10608.0,26502.0,5244.0,04-06-17,07-08-18
43,38B8CD9C,1970-06-25,50,28834.71,27531,314.0,6072.28,14163.0,7908.0,17-09-18,05-02-20
44,D4C7E817,1992-05-14,28,26585.87,20440,9109.0,6706.0,2343.0,2282.0,06-05-18,08-12-18
45,7A4EED75,1975-06-05,45,98923.14,20931,10107.0,393.0,423.0,10008.0,28-11-17,01-05-19
46,ACE5C956,1989-12-26,31,90413.25,21572,6087.0,4387.0,879.0,10219.0,29-12-18,30-04-19
47,68C55974,1962-07-08,58,95038.14,66796,33764.0,5042.0,10659.0,19237.410000000003,03-04-18,25-09-18
48,72DD1471,1963-05-29,57,100683.48,87881,913.0,13798.0,72674.0,496.0,22-01-18,17-05-18
49,0F0884F6,1961-06-20,59,84505.81,47824,8063.0,1165.0,38319.0,277.0,08-03-18,24-08-19
50,DEC6DBE4,1979-02-01,41,32220.83,3214,239.0,965.0,1189.0,821.0,09-08-18,17-11-19
51,25E68E1B,1971-12-08,49,109737.62,93550,38641.0,4210.0,29761.0,20938.0,26-12-17,12-11-18
52,A631984D,1978-02-27,42,77799.33,46410,2188.0,35508.0,331.0,8383.0,26-01-18,06-10-19
53,82E87321,1992-11-12,28,97833.54,61481,25595.0,7987.0,14098.0,13801.0,18-10-18,21-07-18
54,2F4F99C1,1988-12-19,36,82058.48,35758,6129.0,16840.0,10397.0,2392.0,30-12-18,11-08-18
55,625167AC,1991-01-15,29,95315.71,66912,5665.0,30304.0,26767.0,4176.0,08-06-17,03-07-19
56,EC7C25A8,1972-08-24,48,86503.33,49178,23253.0,14273.0,67.0,11585.0,08-06-17,02-04-18
57,F389832C,1974-06-29,46,95380.06,58386,8992.0,19294.0,5106.0,24994.0,03-02-18,23-09-18
58,A81D31B3,1970-04-10,50,74010.15,48785,23761.0,4039.0,15610.0,5375.0,02-06-18,12-09-18
59,3B240FEF,1968-03-30,52,97856.46,64838,13521.0,13303.0,8336.0,29678.0,23-05-18,11-10-18
60,5AEA5AB8,1972-10-24,48,100266.99,89341,41.0,13870.0,60112.0,15318.0,09-06-18,03-07-19
61,45F31C81,1975-01-12,49,120675276.81,94608,15416.0,18845.0,20325.0,40022.0,05-11-18,25-12-19
62,93A17007,1991-08-23,29,40651.36,9386,627.0,1044.0,4064.0,3651.0,28-05-17,08-03-19
63,0B44C3F8,1975-02-20,45,33984.87,31393,10373.0,5583.0,1669.0,13768.0,10-04-18,28-09-19
64,5321D380,1982-04-30,38,59700.08,8143,117.0,1198.0,409.0,6419.0,09-10-18,04-02-19
65,0A9BA907,1966-09-21,54,90469.53,70171,28615.0,21720.05,11906.0,10763.0,15-06-18,28-08-18
66,807465A4,1983-07-29,37,28827.59,14584,2485.0,1260.0,1464.0,9375.0,20-04-17,31-07-18
67,AC2AEAC4,1990-10-04,30,88440.54,63330,14710.0,26855.0,19757.0,2008.0,12-03-18,01-08-19
68,C55C54A8,1967-07-07,53,79630.02,25248,4717.0,4516.0,2328.0,13687.0,30-10-18,19-02-19
69,E961CA44,1992-02-26,28,27907.16,10966,995.0,3491.0,5476.0,1004.0,23-10-17,11-07-19
70,58F8CC80,1988-12-04,32,87146.19,25758,2126.0,11594.0,1070.0,10968.0,18-10-18,10-01-19
71,0109137B,1969-03-02,51,31730.19,21957,6511.0,2004.0,11007.0,2435.0,20-04-18,08-07-19
72,B25B3B8D,1972-12-12,48,99193.98,83362,26237.0,21745.0,18440.0,16940.0,28-04-18,04-07-19
73,3E51A395,1974-03-14,46,21757.14,10581,1383.0,5033.0,846.0,3319.0,04-06-17,22-09-18
74,904A19DD,1987-02-18,33,31981.36,13188,9599.0,858.0,1083.0,1648.0,28-01-19,23-06-19
75,8B359102,1974-08-16,46,173743123.55,96614,18634.0,1763.0,75499.0,718.0,04-06-18,20-06-19
76,CEC1CAE5,1976-02-02,44,92169.14,77894,45362.0,17808.0,12714.0,2010.0,26-11-17,08-10-18
77,46351200,1980-05-31,40,97595.3,82248,26541.0,27491.0,1846.0,26370.0,18-08-18,20-02-20
78,F7FC8F78,1974-05-07,46,88049.82,84430,4590.0,24786.0,3346.0,51708.0,28-02-18,30-04-18
79,3FA9296D,1972-05-07,48,79744.23,70355,1185.0,10443.0,35762.0,22965.0,21-06-18,24-08-18
80,FBAD3C91,1970-08-27,50,99141.9,13466,260.0,10152.0,2936.0,118.0,29-05-18,02-11-19
81,7A2879AF,1991-12-22,29,83345.15,45161,27172.0,11937.0,1715.0,4337.0,30-08-18,09-11-19
82,19C86773,1973-02-23,47,63182.57,62691,16863.0,12793.0,12612.0,20423.0,09-05-18,26-01-20
83,33CA2B76,1963-12-31,57,75508.61,27006,13265.0,5750.0,564.0,7427.0,16-11-17,03-03-19
84,4C7F8638,1973-12-19,47,21942.37,11713,1340.0,3676.0,264.0,6433.0,14-07-18,02-02-19
85,7539C3B7,1974-05-14,50,1077556.81,91190,32692.0,30405.0,14728.0,13365.0,23-08-17,07-06-19
86,9B550FD5,1974-01-30,46,32891.31,11991,7938.0,3077.0,805.0,171.0,02-05-18,27-06-19
87,5F6A2443,1968-03-06,52,98047.16,76215,25087.0,10060.0,21893.0,19175.0,15-12-18,12-11-19
88,D5536652,1967-04-03,53,86506.85,81920,28722.0,29798.0,6572.0,16828.0,21-01-18,14-01-19
89,C580AE41,1968-06-01,52,96673.37,68466,8489.36,28592.0,2439.0,30419.0,28-09-18,17-09-18
90,56D310A8,1984-11-09,36,88660.4,62307,40694.0,15792.0,5342.0,479.0,25-02-18,29-07-18
91,87FDF627,1974-04-05,46,95275.46,55887,2360.0,25434.0,21229.0,6864.0,26-02-19,25-06-18
92,A07D5C92,1990-09-20,30,99577.36,60407,6467.0,20861.0,9861.0,26004.160000000003,17-11-17,16-01-20
93,B6F69B7A,1963-08-26,57,92007.12,22052,1734.0,12765.0,3236.0,4317.0,29-07-18,10-02-20
94,A731C34E,1961-06-03,59,95352.02,84065,12061.0,15742.0,35725.0,20537.0,13-11-17,13-01-19
95,CA507BA1,1974-08-10,46,12209.84,7515,190.0,931.0,1451.0,4943.0,26-05-18,11-09-19
96,B99CD662,1989-12-12,31,92838.44,49089,2453.0,7892.0,31486.0,7258.0,04-05-17,12-03-19
97,13770971,1984-11-29,36,92750.87,27962,3352.0,7547.0,8486.0,8577.0,16-08-17,24-04-19
98,93E78DA3,1969-12-14,51,41942.23,29662,1758.0,11174.0,11650.0,5080.0,09-10-17,15-04-18
99,AC91D689,1993-05-18,27,99490.61,32149,2184.0,17918.0,6714.0,5333.0,01-08-17,04-08-19
